ds,y
2021-01-31,9641614.62
2021-02-28,8772315.22
2021-03-31,9455359.379999999
2021-04-30,9389541.54
2021-05-31,9771756.97
2021-06-30,9286271.35
2021-07-31,10311119.68
2021-08-31,9630655.7
2021-09-30,9188165.62
2021-10-31,10263015.06
2021-11-30,9265555.29
2021-12-31,9585200.16
2022-01-31,9764311.14
2022-02-28,8344111.92
2022-03-31,9986685.16
2022-04-30,9326144.44
2022-05-31,9947574.129999999
2022-06-30,9647503.95
2022-07-31,10067602.95
2022-08-31,9651705.59
2022-09-30,9607629.29
2022-10-31,10282075.37
2022-11-30,8941584.66
2022-12-31,9869885.48
2023-01-31,9485599.83
2023-02-28,9508662.959999999
